"Bug ID","Product","Component","Assignee","Status","Resolution","Summary","Changed"
531989,"Tracecompass.Incubator","Trace types","tracecompass.incubator-inbox","NEW"," ---","Callstack Links or spans improperly generated in TraceEvent","2018-03-05 18:23:30"
532568,"Tracecompass.Incubator","Other","tracecompass.incubator-inbox","NEW"," ---","[intermittent failure] Rest unit tests fail","2018-03-17 22:54:40"
551021,"Tracecompass.Incubator","Other","tracecompass.incubator-inbox","NEW"," ---","[Scripting] Event iterator hangs and deadlocks when the trace is closed","2020-01-20 14:17:11"
551694,"Tracecompass.Incubator","Trace types","tracecompass.incubator-inbox","NEW"," ---","Missing events after opening a ftrace file","2019-10-07 06:19:09"
553493,"Tracecompass.Incubator","General","tracecompass.incubator-inbox","NEW"," ---","Missing features in File Access view","2020-03-10 13:39:39"
560112,"Tracecompass.Incubator","Other","tracecompass.incubator-inbox","NEW"," ---","[BLACK_FRIDAY] Possible lost commit in the org.eclipse.tracecompass.incubator.git repo","2020-02-13 10:24:40"
560362,"Tracecompass.Incubator","General","tracecompass.incubator-inbox","NEW"," ---","Migrate to EPL 2.0","2020-02-26 15:18:25"
565868,"Tracecompass.Incubator","Trace types","tracecompass.incubator-inbox","NEW"," ---","Add perf.data binary support","2020-10-23 14:08:17"
565869,"Tracecompass.Incubator","Other","tracecompass.incubator-inbox","NEW"," ---","Add Thread Latency Analysis","2020-08-06 11:08:12"
567372,"Tracecompass.Incubator","General","tracecompass.incubator-inbox","NEW"," ---","[Trace Server] Support i18n parameters for translations","2020-09-25 16:25:40"
567649,"Tracecompass.Incubator","Other","tracecompass.incubator-inbox","NEW"," ---","trace-server: ConcurrentModificationException when deleting experiment","2020-10-06 14:35:44"
567940,"Tracecompass.Incubator","Trace types","tracecompass.incubator-inbox","NEW"," ---","Add mono trace support","2020-10-23 14:08:34"
568184,"Tracecompass.Incubator","Trace types","tracecompass.incubator-inbox","NEW"," ---","Add support for OTF2 trace format","2020-10-23 14:07:51"
544968,"Tracecompass.Incubator","Generic callstack","tracecompass.incubator-inbox","RESOLVED","FIXED","Rename CPU time to Active CPU Time in flame graph","2019-05-15 10:44:46"
529757,"Tracecompass.Incubator","General","tracecompass.incubator-inbox","CLOSED","FIXED","analyses: getting tid should be optionally blocking","2018-01-17 16:03:25"
540733,"Tracecompass.Incubator","Other","tracecompass.incubator-inbox","CLOSED","FIXED","tracecompass-incubator jobs using Orbit Photon M7","2019-01-15 14:36:19"
549280,"Tracecompass.Incubator","Trace types","tracecompass.incubator-inbox","CLOSED","FIXED","[traceevent] Out of memory error on opening a ~90 MB json trace","2019-07-22 14:13:31"
551255,"Tracecompass.Incubator","Trace types","tracecompass.incubator-inbox","CLOSED","FIXED","Exception when importing a uftrace directory","2020-01-20 14:09:17"
558521,"Tracecompass.Incubator","Other","tracecompass.incubator-inbox","CLOSED","DUPLICATE","Potential deadlock with event requests when script fails","2020-01-20 14:17:11"
565243,"Tracecompass.Incubator","Other","tracecompass.incubator-inbox","CLOSED","FIXED","[Scripting] Extra labels appearing in scripted time graphs","2020-07-17 13:59:06"